cid,eid1,eid2,eid3,xy
329,157,118,117,"[[29.91305293614, 13.484398960862999], [29.746666666667, 13.926666666666998], [29.587755548972996, 13.673573659684], [29.91305293614, 13.484398960862999]]"
330,58,355,52,"[[10.793434607500998, 11.740595089128], [11.077071823132, 11.266398596842999], [11.240353104952, 11.787678712634001], [10.793434607500998, 11.740595089128]]"
331,359,196,148,"[[13.717793480563, 13.303915512720002], [13.959322591005002, 13.606673572602999], [13.596624599958, 13.662087049852], [13.717793480563, 13.303915512720002]]"
332,270,157,82,"[[30.07, 13.91], [29.91305293614, 13.484398960862999], [30.2420484688, 13.603415487703], [30.07, 13.91]]"
333,82,157,232,"[[30.2420484688, 13.603415487703], [29.91305293614, 13.484398960862999], [30.340170506360998, 13.209128097623001], [30.2420484688, 13.603415487703]]"
334,321,320,258,"[[25.117228248205, 13.683125491633], [25.32, 14.07], [24.986666666667, 14.103333333333001], [25.117228248205, 13.683125491633]]"
335,272,72,185,"[[25.933605735325, 13.422262415859999], [25.785872945862998, 13.685867789842], [25.449940552651, 13.624021411917], [25.933605735325, 13.422262415859999]]"
336,364,219,221,"[[24.419698460671, 13.739670455352002], [24.32, 14.17], [24.115914928084003, 13.757973364520002], [24.419698460671, 13.739670455352002]]"
337,364,365,257,"[[24.419698460671, 13.739670455352002], [24.196015133200998, 13.238996060065], [24.739652882893, 13.546653166089001], [24.419698460671, 13.739670455352002]]"
338,178,81,45,"[[27.428698117099, 13.188833210439], [27.652805137373, 13.666103786340999], [27.343308492055996, 13.670003865460998], [27.428698117099, 13.188833210439]]"
339,189,178,190,"[[27.818614061698, 13.397105772846999], [27.428698117099, 13.188833210439], [27.982014063413, 13.070739982876], [27.818614061698, 13.397105772846999]]"
340,224,120,115,"[[5.511715527051001, 7.296868268731], [5.423333333333, 7.633333333333], [5.1866666666670005, 7.426666666667], [5.511715527051001, 7.296868268731]]"
341,301,121,224,"[[5.815114526117999, 7.028664030061001], [5.801647162510999, 7.430367770374], [5.511715527051001, 7.296868268731], [5.815114526117999, 7.028664030061001]]"
342,366,332,333,"[[21.014720214868, 13.907005835243002], [21.18, 14.19], [20.833333333333, 14.19], [21.014720214868, 13.907005835243002]]"
343,367,158,366,"[[21.186789534841, 13.596103051499], [21.360000171567, 13.847279590226], [21.014720214868, 13.907005835243002], [21.186789534841, 13.596103051499]]"
344,368,345,344,"[[22.953333333333003, 14.25], [23.115784400802003, 13.957450220267999], [23.32, 14.28], [22.953333333333003, 14.25]]"
345,329,328,369,"[[22.586666666667, 14.22], [22.432429320268998, 13.759609920955], [22.788110951325002, 13.833661157677], [22.586666666667, 14.22]]"
346,365,221,335,"[[24.196015133200998, 13.238996060065], [24.115914928084003, 13.757973364520002], [23.759773408541, 13.538216772974], [24.196015133200998, 13.238996060065]]"
347,219,364,259,"[[24.32, 14.17], [24.419698460671, 13.739670455352002], [24.653333333333002, 14.136666666666999], [24.32, 14.17]]"
348,179,145,225,"[[7.910079343866, 9.507783837118], [7.87, 9.82], [7.61, 9.623333333333], [7.910079343866, 9.507783837118]]"
349,208,370,236,"[[7.673786061353001, 8.799642258732], [8.174170852977001, 8.563872190049], [8.277489319456, 8.878049076143], [7.673786061353001, 8.799642258732]]"
350,370,208,357,"[[8.174170852977001, 8.563872190049], [7.673786061353001, 8.799642258732], [7.778143605976, 8.269122775468], [8.174170852977001, 8.563872190049]]"
351,150,371,350,"[[8.715998901826, 10.06152573325], [8.970987394567, 9.72099543455], [9.115599752111, 10.117838902524001], [8.715998901826, 10.06152573325]]"
352,371,150,2,"[[8.970987394567, 9.72099543455], [8.715998901826, 10.06152573325], [8.489169167098, 9.829154465426], [8.970987394567, 9.72099543455]]"
353,350,155,150,"[[9.115599752111, 10.117838902524001], [8.6, 10.39], [8.715998901826, 10.06152573325], [9.115599752111, 10.117838902524001]]"
354,357,208,133,"[[7.778143605976, 8.269122775468], [7.673786061353001, 8.799642258732], [7.293547114689, 8.72114598244], [7.778143605976, 8.269122775468]]"
355,372,146,179,"[[8.181136564908, 9.296066957473], [8.181386308919999, 9.672650752771], [7.910079343866, 9.507783837118], [8.181136564908, 9.296066957473]]"
356,122,303,125,"[[6.010125128286001, 7.644470328645], [6.2858269747060005, 7.129165430422], [6.3319276873520005, 7.733685633019], [6.010125128286001, 7.644470328645]]"
357,372,373,146,"[[8.181136564908, 9.296066957473], [8.525184550746, 9.420773700814001], [8.181386308919999, 9.672650752771], [8.181136564908, 9.296066957473]]"
358,374,375,300,"[[7.214466332321, 7.619980184663], [7.814331259862, 7.641678210836001], [7.319159331354, 8.158492850002], [7.214466332321, 7.619980184663]]"
359,376,163,377,"[[10.842225950367, 10.817510623178999], [10.432907759378999, 11.24319837493], [10.307281264694, 10.836482975176], [10.842225950367, 10.817510623178999]]"
360,129,126,134,"[[6.43, 8.52], [6.518327810031001, 8.133683823401], [6.795635155945, 8.388445563525], [6.43, 8.52]]"
361,126,342,134,"[[6.518327810031001, 8.133683823401], [6.921477543173999, 8.038922253935], [6.795635155945, 8.388445563525], [6.518327810031001, 8.133683823401]]"
362,293,139,10,"[[16.46, 13.94], [16.33665300453, 13.47351128414], [16.659603610239, 13.613806948588], [16.46, 13.94]]"
363,11,10,139,"[[16.681521313072, 13.162936807708002], [16.659603610239, 13.613806948588], [16.33665300453, 13.47351128414], [16.681521313072, 13.162936807708002]]"
364,216,215,349,"[[15.316907402323999, 13.548983184215], [15.47, 13.876666666666999], [15.13, 13.86], [15.316907402323999, 13.548983184215]]"
365,378,141,216,"[[15.358293666396001, 13.086310769331998], [15.639198373034999, 13.493084425507], [15.316907402323999, 13.548983184215], [15.358293666396001, 13.086310769331998]]"
366,100,102,165,"[[9.66, 11.27], [9.81457907812, 10.852797946924], [10.031432512212, 11.136932786273999], [9.66, 11.27]]"
367,377,165,102,"[[10.307281264694, 10.836482975176], [10.031432512212, 11.136932786273999], [9.81457907812, 10.852797946924], [10.307281264694, 10.836482975176]]"
368,161,350,162,"[[8.87, 10.613333333333], [9.115599752111, 10.117838902524001], [9.315609310994, 10.442857779653], [8.87, 10.613333333333]]"
369,330,162,350,"[[9.655537700071, 9.999724861611], [9.315609310994, 10.442857779653], [9.115599752111, 10.117838902524001], [9.655537700071, 9.999724861611]]"
370,148,113,112,"[[13.596624599958, 13.662087049852], [13.242761098057, 13.703310848031002], [13.390799474098001, 13.224609924712], [13.596624599958, 13.662087049852]]"
371,200,199,196,"[[14.314025357107, 13.441966375926], [14.18, 13.88], [13.959322591005002, 13.606673572602999], [14.314025357107, 13.441966375926]]"
372,279,282,280,"[[39.18, 12.94], [39.035658176607, 12.600549512737], [39.356460173118, 12.655944925739998], [39.18, 12.94]]"
373,228,331,282,"[[38.959261254882, 12.250798599770999], [39.479008750955, 12.285885930476999], [39.035658176607, 12.600549512737], [38.959261254882, 12.250798599770999]]"
374,159,158,367,"[[21.525266071495, 13.367332578431], [21.360000171567, 13.847279590226], [21.186789534841, 13.596103051499], [21.525266071495, 13.367332578431]]"
375,332,366,158,"[[21.18, 14.19], [21.014720214868, 13.907005835243002], [21.360000171567, 13.847279590226], [21.18, 14.19]]"
376,325,324,326,"[[19.793333333333003, 14.186666666667], [19.630158073754, 13.684053500089998], [19.965546580239, 13.830822162521999], [19.793333333333003, 14.186666666667]]"
377,379,380,275,"[[19.973888948016, 13.38734698332], [20.569592126137, 13.379390731967002], [20.298315644578, 13.688115055466001], [19.973888948016, 13.38734698332]]"
378,381,231,318,"[[18.175052208464, 13.415819271681], [18.339749066242, 13.753430897917], [17.988867568824002, 13.761299426012002], [18.175052208464, 13.415819271681]]"
379,382,383,380,"[[20.280593886247, 12.901057024297], [20.80249781167, 12.889944085364], [20.569592126137, 13.379390731967002], [20.280593886247, 12.901057024297]]"
380,318,231,314,"[[17.988867568824002, 13.761299426012002], [18.339749066242, 13.753430897917], [18.16, 14.09], [17.988867568824002, 13.761299426012002]]"
381,351,290,384,"[[19.310649222435, 13.436024924599], [18.940398214884, 13.655982506366], [19.058502562262, 13.058024484412], [19.310649222435, 13.436024924599]]"
382,26,385,353,"[[0.33, 0.93], [0.22, 0.62], [0.552612709397, 0.5861068105899999], [0.33, 0.93]]"
383,353,16,26,"[[0.552612709397, 0.5861068105899999], [0.7314591130689999, 0.872794465231], [0.33, 0.93], [0.552612709397, 0.5861068105899999]]"
384,168,163,170,"[[10.16, 11.69], [10.432907759378999, 11.24319837493], [10.584496323094, 11.540039455839999], [10.16, 11.69]]"
385,355,170,163,"[[11.077071823132, 11.266398596842999], [10.584496323094, 11.540039455839999], [10.432907759378999, 11.24319837493], [11.077071823132, 11.266398596842999]]"
386,386,387,388,"[[33.483333333333, 13.716666666666999], [33.611586121121, 13.375352768299], [33.836666666667, 13.673333333333002], [33.483333333333, 13.716666666666999]]"
387,193,218,194,"[[35.605230162466995, 13.066712564354999], [35.287581093906, 13.094044054244002], [35.372320811601, 12.604089872563], [35.605230162466995, 13.066712564354999]]"
388,88,90,356,"[[4.106754474273, 5.947455658793], [4.353091211666, 6.131293454458], [3.99, 6.263333333333], [4.106754474273, 5.947455658793]]"
389,268,90,89,"[[4.769069398162, 5.979504780671999], [4.353091211666, 6.131293454458], [4.416853017905, 5.740510135846], [4.769069398162, 5.979504780671999]]"
390,107,111,33,"[[4.703333333333, 6.99], [4.892197136404, 6.437417803916], [5.036214932103, 6.824951066504], [4.703333333333, 6.99]]"
391,42,33,111,"[[5.304134722793, 6.471177910091], [5.036214932103, 6.824951066504], [4.892197136404, 6.437417803916], [5.304134722793, 6.471177910091]]"
392,360,151,389,"[[13.198132628246, 12.763238517767999], [12.762938359737001, 12.938444999947], [12.705650918331001, 12.510935492495001], [13.198132628246, 12.763238517767999]]"
393,360,114,151,"[[13.198132628246, 12.763238517767999], [12.985871727144001, 13.264960632133], [12.762938359737001, 12.938444999947], [13.198132628246, 12.763238517767999]]"
394,346,389,84,"[[12.274803680952001, 12.436662336192999], [12.705650918331001, 12.510935492495001], [12.38690351945, 12.859443541949], [12.274803680952001, 12.436662336192999]]"
395,84,389,151,"[[12.38690351945, 12.859443541949], [12.705650918331001, 12.510935492495001], [12.762938359737001, 12.938444999947], [12.38690351945, 12.859443541949]]"
396,198,200,201,"[[14.496666666666998, 13.873333333333001], [14.314025357107, 13.441966375926], [14.655944380332, 13.53640631159], [14.496666666666998, 13.873333333333001]]"
397,390,201,200,"[[14.635141332821, 13.133620243267], [14.655944380332, 13.53640631159], [14.314025357107, 13.441966375926], [14.635141332821, 13.133620243267]]"
398,263,262,277,"[[29.145894327426, 13.366351105479], [29.268117598868, 13.663292616215001], [28.947109845678, 13.626734921582], [29.145894327426, 13.366351105479]]"
399,156,391,363,"[[29.502463368529998, 13.40090393667], [29.347138709963, 13.101038568257], [29.716914797112004, 13.116801015961], [29.502463368529998, 13.40090393667]]"
400,392,393,394,"[[30.052490105352, 12.210572097077], [29.681296414471998, 12.47163855957], [29.602234674903002, 12.005867236865999], [30.052490105352, 12.210572097077]]"
401,395,396,391,"[[29.178189982105998, 12.754558564454], [29.524883773813, 12.833213614426], [29.347138709963, 13.101038568257], [29.178189982105998, 12.754558564454]]"
402,258,257,321,"[[24.986666666667, 14.103333333333001], [24.739652882893, 13.546653166089001], [25.117228248205, 13.683125491633], [24.986666666667, 14.103333333333001]]"
403,321,257,312,"[[25.117228248205, 13.683125491633], [24.739652882893, 13.546653166089001], [25.179452492817003, 13.184768944607999], [25.117228248205, 13.683125491633]]"
404,306,62,307,"[[32.180496019168, 13.177654546418], [31.846788665478, 13.472618759519], [31.788895140435, 12.960495166331999], [32.180496019168, 13.177654546418]]"
405,397,398,399,"[[28.125316463125, 12.689365989238999], [27.855259907098, 12.421663959707], [28.172062713437, 12.315649371067], [28.125316463125, 12.689365989238999]]"
406,105,177,44,"[[26.620872848751002, 13.299143818513999], [26.977932830628, 13.085833268907], [27.027456200287, 13.548691495033], [26.620872848751002, 13.299143818513999]]"
407,400,105,104,"[[26.592893174697, 12.794465115898], [26.620872848751002, 13.299143818513999], [26.197411576267, 13.097894211305], [26.592893174697, 12.794465115898]]"
408,115,34,224,"[[5.1866666666670005, 7.426666666667], [5.348485529694, 7.001147967107], [5.511715527051001, 7.296868268731], [5.1866666666670005, 7.426666666667]]"
409,121,301,303,"[[5.801647162510999, 7.430367770374], [5.815114526117999, 7.028664030061001], [6.2858269747060005, 7.129165430422], [5.801647162510999, 7.430367770374]]"
410,111,93,268,"[[4.892197136404, 6.437417803916], [4.550876755819999, 6.366420771745], [4.769069398162, 5.979504780671999], [4.892197136404, 6.437417803916]]"
411,342,374,300,"[[6.921477543173999, 8.038922253935], [7.214466332321, 7.619980184663], [7.319159331354, 8.158492850002], [6.921477543173999, 8.038922253935]]"
412,333,273,366,"[[20.833333333333, 14.19], [20.653244687214, 13.861294435538001], [21.014720214868, 13.907005835243002], [20.833333333333, 14.19]]"
413,401,380,402,"[[20.887093488187002, 13.627219046642], [20.569592126137, 13.379390731967002], [21.055360414128998, 13.236816651468], [20.887093488187002, 13.627219046642]]"
414,352,382,379,"[[19.665747850372, 12.983121622706001], [20.280593886247, 12.901057024297], [19.973888948016, 13.38734698332], [19.665747850372, 12.983121622706001]]"
415,257,365,403,"[[24.739652882893, 13.546653166089001], [24.196015133200998, 13.238996060065], [24.660576422233, 13.007035657202001], [24.739652882893, 13.546653166089001]]"
416,365,364,221,"[[24.196015133200998, 13.238996060065], [24.419698460671, 13.739670455352002], [24.115914928084003, 13.757973364520002], [24.196015133200998, 13.238996060065]]"
417,257,259,364,"[[24.739652882893, 13.546653166089001], [24.653333333333002, 14.136666666666999], [24.419698460671, 13.739670455352002], [24.739652882893, 13.546653166089001]]"
418,225,209,179,"[[7.61, 9.623333333333], [7.789449736261999, 9.165500916892999], [7.910079343866, 9.507783837118], [7.61, 9.623333333333]]"
419,370,404,236,"[[8.174170852977001, 8.563872190049], [8.887227282086, 8.507956180761], [8.277489319456, 8.878049076143], [8.174170852977001, 8.563872190049]]"
420,405,406,407,"[[8.780995664831, 9.450126816137], [8.561809865631, 9.07455965385], [9.066252599031, 9.148349923978], [8.780995664831, 9.450126816137]]"
421,371,408,350,"[[8.970987394567, 9.72099543455], [9.46483933805, 9.491898090872], [9.115599752111, 10.117838902524001], [8.970987394567, 9.72099543455]]"
422,407,406,404,"[[9.066252599031, 9.148349923978], [8.561809865631, 9.07455965385], [8.887227282086, 8.507956180761], [9.066252599031, 9.148349923978]]"
423,407,408,371,"[[9.066252599031, 9.148349923978], [9.46483933805, 9.491898090872], [8.970987394567, 9.72099543455], [9.066252599031, 9.148349923978]]"
424,374,342,409,"[[7.214466332321, 7.619980184663], [6.921477543173999, 8.038922253935], [6.7261418387119996, 7.758175890673], [7.214466332321, 7.619980184663]]"
425,409,410,374,"[[6.7261418387119996, 7.758175890673], [6.804705352292, 7.226315590613001], [7.214466332321, 7.619980184663], [6.7261418387119996, 7.758175890673]]"
426,141,411,142,"[[15.639198373034999, 13.493084425507], [15.757124224022, 12.927169488834], [16.062899151874, 13.197387296252], [15.639198373034999, 13.493084425507]]"
427,412,229,413,"[[18.631454603633, 12.635145440566001], [18.555354352958, 13.27724315532], [18.027325411124, 12.949917834714], [18.631454603633, 12.635145440566001]]"
428,349,202,216,"[[15.13, 13.86], [15.000805325777, 13.396301379554], [15.316907402323999, 13.548983184215], [15.13, 13.86]]"
429,141,378,411,"[[15.639198373034999, 13.493084425507], [15.358293666396001, 13.086310769331998], [15.757124224022, 12.927169488834], [15.639198373034999, 13.493084425507]]"
430,355,414,52,"[[11.077071823132, 11.266398596842999], [11.691937554169, 11.18488563234], [11.240353104952, 11.787678712634001], [11.077071823132, 11.266398596842999]]"
431,413,415,416,"[[18.027325411124, 12.949917834714], [17.489001352515, 12.454013691414001], [18.129788005273, 12.299228815355999], [18.027325411124, 12.949917834714]]"
432,373,405,2,"[[8.525184550746, 9.420773700814001], [8.780995664831, 9.450126816137], [8.489169167098, 9.829154465426], [8.525184550746, 9.420773700814001]]"
433,417,348,362,"[[14.186475611379997, 12.402754886806], [14.235000481608, 12.930477150458], [13.745689573189, 12.839035816991998], [14.186475611379997, 12.402754886806]]"
434,253,222,251,"[[38.281788737361005, 12.671626516926999], [38.073421147037, 12.191304893907], [38.600338297106, 12.535315688036], [38.281788737361005, 12.671626516926999]]"
435,418,331,419,"[[39.765583942948, 11.810883661852], [39.479008750955, 12.285885930476999], [39.268603466006, 11.985741574869001], [39.765583942948, 11.810883661852]]"
436,229,384,290,"[[18.555354352958, 13.27724315532], [19.058502562262, 13.058024484412], [18.940398214884, 13.655982506366], [18.555354352958, 13.27724315532]]"
437,402,367,401,"[[21.055360414128998, 13.236816651468], [21.186789534841, 13.596103051499], [20.887093488187002, 13.627219046642], [21.055360414128998, 13.236816651468]]"
438,311,319,309,"[[17.638606857363, 13.693199395092002], [17.8, 14.06], [17.44, 14.03], [17.638606857363, 13.693199395092002]]"
439,381,318,420,"[[18.175052208464, 13.415819271681], [17.988867568824002, 13.761299426012002], [17.854943153310998, 13.397379061401], [18.175052208464, 13.415819271681]]"
440,231,381,229,"[[18.339749066242, 13.753430897917], [18.175052208464, 13.415819271681], [18.555354352958, 13.27724315532], [18.339749066242, 13.753430897917]]"
441,352,351,384,"[[19.665747850372, 12.983121622706001], [19.310649222435, 13.436024924599], [19.058502562262, 13.058024484412], [19.665747850372, 12.983121622706001]]"
442,421,422,423,"[[-0.871069019703, -2.169319253091], [-1.0537945740719998, -3.176408929833], [0.004129693606, -2.756444039345], [-0.871069019703, -2.169319253091]]"
443,17,16,424,"[[0.8418432524959999, 1.191438881768], [0.7314591130689999, 0.872794465231], [1.238590705791, 0.782300015547], [0.8418432524959999, 1.191438881768]]"
444,424,16,60,"[[1.238590705791, 0.782300015547], [0.7314591130689999, 0.872794465231], [0.8825393826360001, 0.35778282797899996], [1.238590705791, 0.782300015547]]"
445,89,266,268,"[[4.416853017905, 5.740510135846], [4.854955372307, 5.466094624261], [4.769069398162, 5.979504780671999], [4.416853017905, 5.740510135846]]"
446,163,165,377,"[[10.432907759378999, 11.24319837493], [10.031432512212, 11.136932786273999], [10.307281264694, 10.836482975176], [10.432907759378999, 11.24319837493]]"
447,425,377,426,"[[10.570443440721, 10.343367685212], [10.307281264694, 10.836482975176], [10.123805445611, 10.499704531382001], [10.570443440721, 10.343367685212]]"
448,234,427,235,"[[33.983456255736, 13.331100290881], [34.136783512873, 12.988746781568], [34.34748218517, 13.254178317936], [33.983456255736, 13.331100290881]]"
449,137,298,428,"[[31.419786169935, 13.157807054119], [31.072712942553, 12.886626781578], [31.451238890423003, 12.513080607767], [31.419786169935, 13.157807054119]]"
450,429,430,431,"[[34.788411852497, 12.068354063527998], [34.948104203284004, 12.441004448388], [34.524686355298, 12.409674920659], [34.788411852497, 12.068354063527998]]"
451,182,37,269,"[[37.323874238238, 12.679424975827999], [37.028814031426, 12.911619642311], [36.939734350129, 12.518894949507999], [37.323874238238, 12.679424975827999]]"
452,356,92,88,"[[3.99, 6.263333333333], [3.77, 5.996666666667], [4.106754474273, 5.947455658793], [3.99, 6.263333333333]]"
453,91,88,92,"[[3.9788149450950003, 5.655323254349001], [4.106754474273, 5.947455658793], [3.77, 5.996666666667], [3.9788149450950003, 5.655323254349001]]"
454,77,358,91,"[[3.793101244525, 5.312269390342], [4.303898399436, 5.349190162214001], [3.9788149450950003, 5.655323254349001], [3.793101244525, 5.312269390342]]"
455,432,433,434,"[[2.9041996367769998, 3.461153268568], [2.683055156389, 3.789876084205], [2.5063853836820003, 3.454767891183], [2.9041996367769998, 3.461153268568]]"
456,362,359,112,"[[13.745689573189, 12.839035816991998], [13.717793480563, 13.303915512720002], [13.390799474098001, 13.224609924712], [13.745689573189, 12.839035816991998]]"
457,196,359,347,"[[13.959322591005002, 13.606673572602999], [13.717793480563, 13.303915512720002], [14.004311640072999, 13.205874920673999], [13.959322591005002, 13.606673572602999]]"
458,435,188,53,"[[11.627253225903, 12.099262659015], [11.499598336695001, 12.525144903401001], [11.265453385016, 12.262410900746], [11.627253225903, 12.099262659015]]"
459,347,200,196,"[[14.004311640072999, 13.205874920673999], [14.314025357107, 13.441966375926], [13.959322591005002, 13.606673572602999], [14.004311640072999, 13.205874920673999]]"
460,277,3,5,"[[28.947109845678, 13.626734921582], [28.652547879204, 13.622504142581], [28.764326141136998, 13.235047815109], [28.947109845678, 13.626734921582]]"
461,391,156,263,"[[29.347138709963, 13.101038568257], [29.502463368529998, 13.40090393667], [29.145894327426, 13.366351105479], [29.347138709963, 13.101038568257]]"
462,436,437,363,"[[29.928352148403, 12.697623928817999], [30.061705712213, 13.044036767720002], [29.716914797112004, 13.116801015961], [29.928352148403, 12.697623928817999]]"
463,391,263,204,"[[29.347138709963, 13.101038568257], [29.145894327426, 13.366351105479], [29.036313385952, 13.060720698513999], [29.347138709963, 13.101038568257]]"
464,5,4,438,"[[28.764326141136998, 13.235047815109], [28.415660800046002, 13.295316398426001], [28.447276225479, 12.920395027646], [28.764326141136998, 13.235047815109]]"
465,439,440,441,"[[32.569836971623, 12.330291948323], [32.811409795017, 11.947520351312999], [33.114916026304996, 12.373537155963], [32.569836971623, 12.330291948323]]"
466,430,237,239,"[[34.948104203284004, 12.441004448388], [34.964801911646, 12.868938490581998], [34.543575441617996, 12.836570111103999], [34.948104203284004, 12.441004448388]]"
467,205,5,438,"[[28.819869862757002, 12.772623301872999], [28.764326141136998, 13.235047815109], [28.447276225479, 12.920395027646], [28.819869862757002, 12.772623301872999]]"
468,396,442,393,"[[29.524883773813, 12.833213614426], [29.369945882866997, 12.493448291715], [29.681296414471998, 12.47163855957], [29.524883773813, 12.833213614426]]"
469,204,205,395,"[[29.036313385952, 13.060720698513999], [28.819869862757002, 12.772623301872999], [29.178189982105998, 12.754558564454], [29.036313385952, 13.060720698513999]]"
470,443,248,247,"[[30.910232393992, 12.370741263861001], [30.662188088751996, 12.892629581181], [30.382282996620003, 12.585450690934], [30.910232393992, 12.370741263861001]]"
471,444,445,446,"[[33.50451752357, 12.306770512239002], [33.699276317817, 11.946329196895], [33.855106809377, 12.206876532104001], [33.50451752357, 12.306770512239002]]"
472,224,34,301,"[[5.511715527051001, 7.296868268731], [5.348485529694, 7.001147967107], [5.815114526117999, 7.028664030061001], [5.511715527051001, 7.296868268731]]"
473,301,34,447,"[[5.815114526117999, 7.028664030061001], [5.348485529694, 7.001147967107], [5.659343437918, 6.660776736329], [5.815114526117999, 7.028664030061001]]"
474,273,401,366,"[[20.653244687214, 13.861294435538001], [20.887093488187002, 13.627219046642], [21.014720214868, 13.907005835243002], [20.653244687214, 13.861294435538001]]"
475,367,366,401,"[[21.186789534841, 13.596103051499], [21.014720214868, 13.907005835243002], [20.887093488187002, 13.627219046642], [21.186789534841, 13.596103051499]]"
476,159,402,448,"[[21.525266071495, 13.367332578431], [21.055360414128998, 13.236816651468], [21.345965134145, 12.722486417758], [21.525266071495, 13.367332578431]]"
477,449,313,312,"[[25.515554371466997, 12.649090215216], [25.690730431326, 13.142214830019], [25.179452492817003, 13.184768944607999], [25.515554371466997, 12.649090215216]]"
478,209,372,179,"[[7.789449736261999, 9.165500916892999], [8.181136564908, 9.296066957473], [7.910079343866, 9.507783837118], [7.789449736261999, 9.165500916892999]]"
479,373,372,406,"[[8.525184550746, 9.420773700814001], [8.181136564908, 9.296066957473], [8.561809865631, 9.07455965385], [8.525184550746, 9.420773700814001]]"
480,216,202,378,"[[15.316907402323999, 13.548983184215], [15.000805325777, 13.396301379554], [15.358293666396001, 13.086310769331998], [15.316907402323999, 13.548983184215]]"
481,202,201,390,"[[15.000805325777, 13.396301379554], [14.655944380332, 13.53640631159], [14.635141332821, 13.133620243267], [15.000805325777, 13.396301379554]]"
482,419,227,294,"[[39.268603466006, 11.985741574869001], [38.891334695477, 11.810065584791], [39.305659819541, 11.469303509242], [39.268603466006, 11.985741574869001]]"
483,286,211,331,"[[40.066151507409, 12.240135531731], [39.661403484264, 12.603571690381001], [39.479008750955, 12.285885930476999], [40.066151507409, 12.240135531731]]"
484,310,309,308,"[[17.329146649307, 13.661664032356], [17.44, 14.03], [17.08, 14.0], [17.329146649307, 13.661664032356]]"
485,9,11,450,"[[17.024313333475, 13.514102825052], [16.681521313072, 13.162936807708002], [17.117374408529, 13.032190444135999], [17.024313333475, 13.514102825052]]"
486,381,413,229,"[[18.175052208464, 13.415819271681], [18.027325411124, 12.949917834714], [18.555354352958, 13.27724315532], [18.175052208464, 13.415819271681]]"
487,11,451,452,"[[16.681521313072, 13.162936807708002], [16.268629722512, 12.819134912749], [16.841533730821, 12.611770486188], [16.681521313072, 13.162936807708002]]"
488,311,420,318,"[[17.638606857363, 13.693199395092002], [17.854943153310998, 13.397379061401], [17.988867568824002, 13.761299426012002], [17.638606857363, 13.693199395092002]]"
489,310,453,311,"[[17.329146649307, 13.661664032356], [17.501433657908002, 13.204419158578999], [17.638606857363, 13.693199395092002], [17.329146649307, 13.661664032356]]"
490,6,454,7,"[[3.174587048053, 3.0872855601279996], [2.942868344466, 2.678012957161], [3.4314929593790002, 2.709653804496], [3.174587048053, 3.0872855601279996]]"
491,455,456,457,"[[0.024815807648, -1.15714469875], [-0.516024590977, -0.562859609528], [-0.675882929127, -1.331220519031], [0.024815807648, -1.15714469875]]"
492,458,21,20,"[[0.11, 0.31], [0.382984428142, -0.129208566158], [0.535388520235, 0.197992030365], [0.11, 0.31]]"
493,424,60,59,"[[1.238590705791, 0.782300015547], [0.8825393826360001, 0.35778282797899996], [1.3636289990450001, 0.159680123394], [1.238590705791, 0.782300015547]]"
494,233,388,234,"[[34.19, 13.63], [33.836666666667, 13.673333333333002], [33.983456255736, 13.331100290881], [34.19, 13.63]]"
495,218,237,194,"[[35.287581093906, 13.094044054244002], [34.964801911646, 12.868938490581998], [35.372320811601, 12.604089872563], [35.287581093906, 13.094044054244002]]"
496,250,238,237,"[[35.001356200551, 13.240199197248002], [34.688353954176, 13.204924113232], [34.964801911646, 12.868938490581998], [35.001356200551, 13.240199197248002]]"
497,284,235,238,"[[34.526666666667, 13.596666666667], [34.34748218517, 13.254178317936], [34.688353954176, 13.204924113232], [34.526666666667, 13.596666666667]]"
498,163,376,355,"[[10.432907759378999, 11.24319837493], [10.842225950367, 10.817510623178999], [11.077071823132, 11.266398596842999], [10.432907759378999, 11.24319837493]]"
499,348,390,200,"[[14.235000481608, 12.930477150458], [14.635141332821, 13.133620243267], [14.314025357107, 13.441966375926], [14.235000481608, 12.930477150458]]"
500,359,362,347,"[[13.717793480563, 13.303915512720002], [13.745689573189, 12.839035816991998], [14.004311640072999, 13.205874920673999], [13.717793480563, 13.303915512720002]]"
501,348,347,362,"[[14.235000481608, 12.930477150458], [14.004311640072999, 13.205874920673999], [13.745689573189, 12.839035816991998], [14.235000481608, 12.930477150458]]"
502,243,459,346,"[[11.883251906226, 12.433583298728001], [12.084956657579, 12.003687089674], [12.274803680952001, 12.436662336192999], [11.883251906226, 12.433583298728001]]"
503,362,112,360,"[[13.745689573189, 12.839035816991998], [13.390799474098001, 13.224609924712], [13.198132628246, 12.763238517767999], [13.745689573189, 12.839035816991998]]"
504,298,264,248,"[[31.072712942553, 12.886626781578], [30.742106101666003, 13.265662404517], [30.662188088751996, 12.892629581181], [31.072712942553, 12.886626781578]]"
505,460,461,462,"[[33.677801170483, 10.682433906233], [33.735246256373, 9.401867173436], [34.498457750929, 10.533962632490999], [33.677801170483, 10.682433906233]]"
506,436,393,392,"[[29.928352148403, 12.697623928817999], [29.681296414471998, 12.47163855957], [30.052490105352, 12.210572097077], [29.928352148403, 12.697623928817999]]"
507,463,464,394,"[[29.227119169428, 11.824938296858], [29.570319025169, 11.330991400761], [29.602234674903002, 12.005867236865999], [29.227119169428, 11.824938296858]]"
