cid,eid1,eid2,eid3,xy
42,79,80,81,"[[28.016435044498, 13.719402365311], [27.876666666667, 14.013333333333001], [27.652805137373, 13.666103786340999], [28.016435044498, 13.719402365311]]"
43,64,24,75,"[[3.161871823782, 4.934007253561], [3.096666666667, 5.376666666667], [2.87, 5.2], [3.161871823782, 4.934007253561]]"
44,82,74,76,"[[30.2420484688, 13.603415487703], [30.556371443303, 13.579160829368998], [30.41, 13.9], [30.2420484688, 13.603415487703]]"
45,50,83,51,"[[1.9839476902250002, 3.036791920227], [2.111776175664, 3.413557267585], [1.73, 3.42], [1.9839476902250002, 3.036791920227]]"
46,84,85,86,"[[12.38690351945, 12.859443541949], [12.172382399403, 13.185530235943], [11.993176881848, 12.886309769563], [12.38690351945, 12.859443541949]]"
47,79,70,87,"[[28.016435044498, 13.719402365311], [28.356852589278002, 13.680120924327], [28.24, 14.0], [28.016435044498, 13.719402365311]]"
48,88,89,90,"[[4.106754474273, 5.947455658793], [4.416853017905, 5.740510135846], [4.353091211666, 6.131293454458], [4.106754474273, 5.947455658793]]"
49,91,92,78,"[[3.9788149450950003, 5.655323254349001], [3.77, 5.996666666667], [3.55, 5.73], [3.9788149450950003, 5.655323254349001]]"
50,93,94,95,"[[4.550876755819999, 6.366420771745], [4.456666666667, 6.76], [4.21, 6.53], [4.550876755819999, 6.366420771745]]"
51,96,97,98,"[[12.63, 13.863333333333001], [12.915294979182999, 13.666406045638], [12.93, 14.016666666667], [12.63, 13.863333333333001]]"
52,47,99,64,"[[2.943353005837, 4.5781737012559995], [3.4296822935030002, 4.596282489038], [3.161871823782, 4.934007253561], [2.943353005837, 4.5781737012559995]]"
53,91,89,88,"[[3.9788149450950003, 5.655323254349001], [4.416853017905, 5.740510135846], [4.106754474273, 5.947455658793], [3.9788149450950003, 5.655323254349001]]"
54,100,101,102,"[[9.66, 11.27], [9.41, 11.06], [9.81457907812, 10.852797946924], [9.66, 11.27]]"
55,54,103,58,"[[10.88, 12.37], [10.64, 12.143333333333], [10.793434607500998, 11.740595089128], [10.88, 12.37]]"
56,95,90,93,"[[4.21, 6.53], [4.353091211666, 6.131293454458], [4.550876755819999, 6.366420771745], [4.21, 6.53]]"
57,104,105,106,"[[26.197411576267, 13.097894211305], [26.620872848751002, 13.299143818513999], [26.297500978499, 13.46721919559], [26.197411576267, 13.097894211305]]"
58,107,33,35,"[[4.703333333333, 6.99], [5.036214932103, 6.824951066504], [4.95, 7.22], [4.703333333333, 6.99]]"
59,108,51,83,"[[1.916666666667, 3.733333333333], [1.73, 3.42], [2.111776175664, 3.413557267585], [1.916666666667, 3.733333333333]]"
60,109,101,110,"[[9.491450805924, 10.725627995811], [9.41, 11.06], [9.14, 10.836666666666998], [9.491450805924, 10.725627995811]]"
61,111,107,94,"[[4.892197136404, 6.437417803916], [4.703333333333, 6.99], [4.456666666667, 6.76], [4.892197136404, 6.437417803916]]"
62,112,113,114,"[[13.390799474098001, 13.224609924712], [13.242761098057, 13.703310848031002], [12.985871727144001, 13.264960632133], [13.390799474098001, 13.224609924712]]"
63,35,34,115,"[[4.95, 7.22], [5.348485529694, 7.001147967107], [5.1866666666670005, 7.426666666667], [4.95, 7.22]]"
64,116,117,118,"[[29.423333333333, 13.943333333333001], [29.587755548972996, 13.673573659684], [29.746666666667, 13.926666666666998], [29.423333333333, 13.943333333333001]]"
65,119,120,121,"[[5.66, 7.84], [5.423333333333, 7.633333333333], [5.801647162510999, 7.430367770374], [5.66, 7.84]]"
66,122,123,119,"[[6.010125128286001, 7.644470328645], [5.916666666667, 8.066666666667], [5.66, 7.84], [6.010125128286001, 7.644470328645]]"
67,124,125,126,"[[6.173333333333, 8.293333333333], [6.3319276873520005, 7.733685633019], [6.518327810031001, 8.133683823401], [6.173333333333, 8.293333333333]]"
68,55,127,128,"[[30.900023107725, 13.605416466005002], [31.075651188695, 13.299672823627999], [31.226845650216, 13.565117965946], [30.900023107725, 13.605416466005002]]"
69,128,56,55,"[[31.226845650216, 13.565117965946], [31.09, 13.88], [30.900023107725, 13.605416466005002], [31.226845650216, 13.565117965946]]"
70,129,124,126,"[[6.43, 8.52], [6.173333333333, 8.293333333333], [6.518327810031001, 8.133683823401], [6.43, 8.52]]"
71,130,70,79,"[[28.135305120858998, 13.426554663887], [28.356852589278002, 13.680120924327], [28.016435044498, 13.719402365311], [28.135305120858998, 13.426554663887]]"
72,131,132,133,"[[7.09, 9.23], [6.87, 8.993333333333], [7.293547114689, 8.72114598244], [7.09, 9.23]]"
73,134,135,136,"[[6.795635155945, 8.388445563525], [6.994261318653001, 8.604672623452], [6.65, 8.756666666667], [6.795635155945, 8.388445563525]]"
74,137,62,61,"[[31.419786169935, 13.157807054119], [31.846788665478, 13.472618759519], [31.508072270621, 13.564104864897999], [31.419786169935, 13.157807054119]]"
75,138,139,140,"[[15.969040389605999, 13.510400442032001], [16.33665300453, 13.47351128414], [16.15, 13.91], [15.969040389605999, 13.510400442032001]]"
76,132,136,135,"[[6.87, 8.993333333333], [6.65, 8.756666666667], [6.994261318653001, 8.604672623452], [6.87, 8.993333333333]]"
77,141,142,138,"[[15.639198373034999, 13.493084425507], [16.062899151874, 13.197387296252], [15.969040389605999, 13.510400442032001], [15.639198373034999, 13.493084425507]]"
78,131,143,144,"[[7.09, 9.23], [7.427661098904, 9.076559555396], [7.35, 9.426666666667], [7.09, 9.23]]"
79,1,145,146,"[[8.113333333333, 10.01], [7.87, 9.82], [8.181386308919999, 9.672650752771], [8.113333333333, 10.01]]"
80,147,113,148,"[[13.546666666666999, 14.073333333333002], [13.242761098057, 13.703310848031002], [13.596624599958, 13.662087049852], [13.546666666666999, 14.073333333333002]]"
81,131,133,143,"[[7.09, 9.23], [7.293547114689, 8.72114598244], [7.427661098904, 9.076559555396], [7.09, 9.23]]"
82,18,149,40,"[[1.104167699931, 1.42489960814], [1.633072458255, 1.683054474554], [1.126412478329, 1.826280731907], [1.104167699931, 1.42489960814]]"
83,2,150,0,"[[8.489169167098, 9.829154465426], [8.715998901826, 10.06152573325], [8.356666666667, 10.2], [8.489169167098, 9.829154465426]]"
84,151,152,84,"[[12.762938359737001, 12.938444999947], [12.495518109758, 13.283898416408999], [12.38690351945, 12.859443541949], [12.762938359737001, 12.938444999947]]"
85,153,13,154,"[[22.22, 14.19], [21.873333333333, 14.19], [21.987705097029, 13.642300847126], [22.22, 14.19]]"
86,155,0,150,"[[8.6, 10.39], [8.356666666667, 10.2], [8.715998901826, 10.06152573325], [8.6, 10.39]]"
87,156,157,117,"[[29.502463368529998, 13.40090393667], [29.91305293614, 13.484398960862999], [29.587755548972996, 13.673573659684], [29.502463368529998, 13.40090393667]]"
88,12,158,159,"[[21.668080707915, 13.830772457111001], [21.360000171567, 13.847279590226], [21.525266071495, 13.367332578431], [21.668080707915, 13.830772457111001]]"
89,142,139,138,"[[16.062899151874, 13.197387296252], [16.33665300453, 13.47351128414], [15.969040389605999, 13.510400442032001], [16.062899151874, 13.197387296252]]"
90,81,80,160,"[[27.652805137373, 13.666103786340999], [27.876666666667, 14.013333333333001], [27.513333333333, 14.026666666667], [27.652805137373, 13.666103786340999]]"
91,110,161,162,"[[9.14, 10.836666666666998], [8.87, 10.613333333333], [9.315609310994, 10.442857779653], [9.14, 10.836666666666998]]"
92,30,28,31,"[[1.323333333333, 3.006666666667], [1.466715719587, 2.5397177204859998], [1.657984294655, 2.868864678661], [1.323333333333, 3.006666666667]]"
93,128,137,61,"[[31.226845650216, 13.565117965946], [31.419786169935, 13.157807054119], [31.508072270621, 13.564104864897999], [31.226845650216, 13.565117965946]]"
94,163,164,165,"[[10.432907759378999, 11.24319837493], [9.91, 11.48], [10.031432512212, 11.136932786273999], [10.432907759378999, 11.24319837493]]"
95,166,167,77,"[[3.669028516776, 4.890092399537], [4.146756525303, 4.91795063199], [3.793101244525, 5.312269390342], [3.669028516776, 4.890092399537]]"
96,164,163,168,"[[9.91, 11.48], [10.432907759378999, 11.24319837493], [10.16, 11.69], [9.91, 11.48]]"
97,169,170,58,"[[10.4, 11.916666666666998], [10.584496323094, 11.540039455839999], [10.793434607500998, 11.740595089128], [10.4, 11.916666666666998]]"
98,36,171,172,"[[36.943333333333, 13.246666666666998], [36.586666666667, 13.303333333333], [36.643949479833005, 12.846302741303], [36.943333333333, 13.246666666666998]]"
99,165,164,100,"[[10.031432512212, 11.136932786273999], [9.91, 11.48], [9.66, 11.27], [10.031432512212, 11.136932786273999]]"
100,173,174,175,"[[37.613631917996, 12.321195567146], [37.968645154423, 12.664117780636001], [37.671622960309, 12.773399477374001], [37.613631917996, 12.321195567146]]"
101,176,54,53,"[[11.136666666666999, 12.65], [10.88, 12.37], [11.265453385016, 12.262410900746], [11.136666666666999, 12.65]]"
102,44,177,178,"[[27.027456200287, 13.548691495033], [26.977932830628, 13.085833268907], [27.428698117099, 13.188833210439], [27.027456200287, 13.548691495033]]"
103,179,146,145,"[[7.910079343866, 9.507783837118], [8.181386308919999, 9.672650752771], [7.87, 9.82], [7.910079343866, 9.507783837118]]"
104,128,180,56,"[[31.226845650216, 13.565117965946], [31.363333333333003, 13.876666666666999], [31.09, 13.88], [31.226845650216, 13.565117965946]]"
105,181,182,175,"[[37.593333333333, 13.143333333333], [37.323874238238, 12.679424975827999], [37.671622960309, 12.773399477374001], [37.593333333333, 13.143333333333]]"
106,183,86,184,"[[11.65, 13.21], [11.993176881848, 12.886309769563], [11.876666666666999, 13.376666666666999], [11.65, 13.21]]"
107,71,185,72,"[[25.66, 14.066666666666999], [25.449940552651, 13.624021411917], [25.785872945862998, 13.685867789842], [25.66, 14.066666666666999]]"
108,186,187,183,"[[11.393333333333, 12.93], [11.693565181076, 12.797944412786], [11.65, 13.21], [11.393333333333, 12.93]]"
109,188,176,53,"[[11.499598336695001, 12.525144903401001], [11.136666666666999, 12.65], [11.265453385016, 12.262410900746], [11.499598336695001, 12.525144903401001]]"
110,152,85,84,"[[12.495518109758, 13.283898416408999], [12.172382399403, 13.185530235943], [12.38690351945, 12.859443541949], [12.495518109758, 13.283898416408999]]"
111,130,189,190,"[[28.135305120858998, 13.426554663887], [27.818614061698, 13.397105772846999], [27.982014063413, 13.070739982876], [28.135305120858998, 13.426554663887]]"
112,191,184,85,"[[12.103333333333001, 13.543333333333], [11.876666666666999, 13.376666666666999], [12.172382399403, 13.185530235943], [12.103333333333001, 13.543333333333]]"
113,192,191,152,"[[12.33, 13.71], [12.103333333333001, 13.543333333333], [12.495518109758, 13.283898416408999], [12.33, 13.71]]"
